alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2,Absolute Time
-1.683691,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.708045
-1.744272,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.718044
-1.744272,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.728047
-1.793807,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.738045
-1.793807,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.748045
-1.851803,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.758045
-1.851803,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.768046
-1.917078,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.778047
-1.917078,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.788049
-1.996637,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.798047
-2.070874,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.808048
-2.161169,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.818048
-2.241756,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.828047
-2.278578,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.838048
-2.278578,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.848050
-2.329746,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.858048
-2.329746,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.868049
-2.356194,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.878050
-2.361348,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.888051
-2.388069,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.898052
-2.388069,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.908054
-2.393583,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.918051
-2.410471,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.928048
-2.445826,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.938051
-2.445826,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.948052
-2.464319,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.958053
-2.464319,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.968054
-2.503037,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.978053
-2.503037,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.988055
-2.551199,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631515.998054
-2.551199,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.008053
-2.580197,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.018053
-2.580197,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.028055
-2.595096,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.038054
-2.610293,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.048055
-2.610293,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.058054
-2.625766,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.068054
-2.625766,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.078054
-2.641491,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.088058
-2.641491,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.098056
-2.649469,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.108056
-2.649469,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.118055
-2.657516,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.128053
-2.657516,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.138058
-2.673815,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.148059
-2.682043,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.158059
-2.673815,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.168058
-2.682043,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.178057
-2.673815,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.188058
-2.673815,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.198059
-2.673815,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.208060
-2.682043,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.218059
-2.682043,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.228055
-2.682043,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.238060
-2.682043,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.248061
-2.682043,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.258061
-2.707205,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.268062
-2.707205,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.278060
-2.707205,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.288063
-2.768205,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.298061
-2.804441,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.308061
-2.804441,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.318062
-2.841621,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.328064
-2.841621,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.338063
-2.908764,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.348063
-2.908764,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.358063
-2.958097,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.368064
-3.059287,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.378063
-3.090062,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.388065
-3.120965,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.398065
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.408065
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.418064
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.428062
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.438066
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.448069
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.458066
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.468067
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.478066
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.488067
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.498068
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.508069
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.518069
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.528066
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.538069
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.548070
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.558070
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.568072
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.578071
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.588070
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.598070
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.608070
3.141593,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,3568631516.618071
